instansi,tahun,bulan,capaian_pengadaan,capaian_kontrak,capaian_pelaksanaan,capaian_PHO
"Badan Penanggulangan Lumpur Sidoarjo",2012,1,44.44,,,
"Badan Penanggulangan Lumpur Sidoarjo",2012,2,53.09,,,
"Badan Penanggulangan Lumpur Sidoarjo",2012,3,59.26,49.38,49.38,33.34
"Badan Penanggulangan Lumpur Sidoarjo",2012,4,64.2,53.09,53.09,35.71
"Badan Penanggulangan Lumpur Sidoarjo",2012,5,69.14,55.56,55.56,38.1
"Badan Penanggulangan Lumpur Sidoarjo",2012,6,86.42,61.73,61.73,39.29
"Badan Penanggulangan Lumpur Sidoarjo",2012,7,100,62.96,62.96,45.24
"Badan Penanggulangan Lumpur Sidoarjo",2012,8,,70.37,70.37,48.81
"Badan Penanggulangan Lumpur Sidoarjo",2012,9,,76.19,76.19,53.57
"Badan Penanggulangan Lumpur Sidoarjo",2012,10,,88.51,88.51,55.17
"Badan Penanggulangan Lumpur Sidoarjo",2012,11,,94.25,94.25,60.92
"Badan Penanggulangan Lumpur Sidoarjo",2012,12,,96.55,96.55,96.55
"Badan Penanggulangan Lumpur Sidoarjo",2013,1,85.88,,,
"Badan Penanggulangan Lumpur Sidoarjo",2013,2,89.41,,,
"Badan Penanggulangan Lumpur Sidoarjo",2013,3,100,35.42,35.42,21.88
"Badan Penanggulangan Lumpur Sidoarjo",2013,4,,52.08,52.08,27.08
"Badan Penanggulangan Lumpur Sidoarjo",2013,5,,54.17,54.17,27.08
"Badan Penanggulangan Lumpur Sidoarjo",2013,6,,60.42,60.42,28.13
"Badan Penanggulangan Lumpur Sidoarjo",2013,7,,60.42,60.42,32.29
"Badan Penanggulangan Lumpur Sidoarjo",2013,8,,66.67,66.67,34.38
"Badan Penanggulangan Lumpur Sidoarjo",2013,9,,67.71,67.71,35.42
"Badan Penanggulangan Lumpur Sidoarjo",2013,10,,69.79,69.79,36.46
"Badan Penanggulangan Lumpur Sidoarjo",2013,11,,,,
"Badan Penanggulangan Lumpur Sidoarjo",2013,12,,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2012,1,4.56,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2012,2,15.2,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2012,3,23.1,8.51,3.34,.91
"Badan Pengawas Obat dan Makanan (BPOM)",2012,4,31.61,16.72,8.81,1.82
"Badan Pengawas Obat dan Makanan (BPOM)",2012,5,39.82,24.62,17.63,4.86
"Badan Pengawas Obat dan Makanan (BPOM)",2012,6,50.76,35.26,25.84,9.42
"Badan Pengawas Obat dan Makanan (BPOM)",2012,7,68.09,47.11,41.04,16.41
"Badan Pengawas Obat dan Makanan (BPOM)",2012,8,71.43,56.84,55.32,25.23
"Badan Pengawas Obat dan Makanan (BPOM)",2012,9,98.48,75,67.17,35.26
"Badan Pengawas Obat dan Makanan (BPOM)",2012,10,100,95,86.63,46.2
"Badan Pengawas Obat dan Makanan (BPOM)",2012,11,,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2012,12,,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2013,1,27.62,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2013,2,45.64,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2013,3,55.52,44.19,26.74,4.36
"Badan Pengawas Obat dan Makanan (BPOM)",2013,4,67.73,59.01,46.22,13.95
"Badan Pengawas Obat dan Makanan (BPOM)",2013,5,73.84,70.06,59.01,26.45
"Badan Pengawas Obat dan Makanan (BPOM)",2013,6,90.12,75.29,67.73,42.44
"Badan Pengawas Obat dan Makanan (BPOM)",2013,7,94.19,81.98,73.26,53.78
"Badan Pengawas Obat dan Makanan (BPOM)",2013,8,94.48,84.88,79.94,60.76
"Badan Pengawas Obat dan Makanan (BPOM)",2013,9,,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2013,10,,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2013,11,,,,
"Badan Pengawas Obat dan Makanan (BPOM)",2013,12,,,,
"Badan Pengawas Pemilihan Umum",2012,1,,,,
"Badan Pengawas Pemilihan Umum",2012,2,,,,
"Badan Pengawas Pemilihan Umum",2012,3,7,7,100,
"Badan Pengawas Pemilihan Umum",2012,4,10,10,100,
"Badan Pengawas Pemilihan Umum",2012,5,7,7,100,
"Badan Pengawas Pemilihan Umum",2012,6,,,100,
"Badan Pengawas Pemilihan Umum",2012,7,,,100,
"Badan Pengawas Pemilihan Umum",2012,8,,,100,
"Badan Pengawas Pemilihan Umum",2012,9,,,,
"Badan Pengawas Pemilihan Umum",2012,10,,,,
"Badan Pengawas Pemilihan Umum",2012,11,,,,
"Badan Pengawas Pemilihan Umum",2012,12,,,,
"Badan Pengawas Pemilihan Umum",2013,1,5.9,,,
