nama_perusahaan,komoditas,satuan,tahun,nilai
"Aneka Tambang Tbk, PT","Iron sand","wmt",2010,
"Timah Tbk, PT","Tin metal","ton",2010,176065
"Freeport Indonesia, PT","Copper","ton",2010,100062
"Freeport Indonesia, PT","Gold","kg",2010,10066
"Freeport Indonesia, PT","Silver","kg",2010,30195
"Koba Tin, PT","Tin metal","ton",2010,1477
"International Nickel Ind, PT","Ni+Co in matte","ton",2010,18021
"Gunung Kikara Mining, PT","Tin metal","ton",2010,
"Karimun Granite, PT","Granite","ton",2010,
"Lusang Mining, PT","Gold","kg",2010,
"Lusang Mining, PT","Silver","kg",2010,
"Ampalit Mas Perdana, PT","Gold","kg",2010,
"Ampalit Mas Perdana, PT","Silver","kg",2010,
"Monterado Mas Mining, PT","Gold","kg",2010,
"Monterado Mas Mining, PT","Silver","kg",2010,
"Prima Lirang Mining, PT","Gold","kg",2010,
"Prima Lirang Mining, PT","Silver","kg",2010,
"Kelian Equatorial Mining, PT","Gold","kg",2010,
"Kelian Equatorial Mining, PT","Silver","kg",2010,
"Indo Muro Kencana, PT","Gold","kg",2010,219
"Indo Muro Kencana, PT","Silver","kg",2010,405
"Newmont Minahasa Raya, PT","Gold","kg",2010,
"Newmont Minahasa Raya, PT","Silver","kg",2010,
"Barisan Tropical Mining, PT","Gold","kg",2010,
"Barisan Tropical Mining, PT","Silver","kg",2010,
"Newmont Nusa Tenggara, PT","Copper","ton",2010,58443
"Newmont Nusa Tenggara, PT","Gold","kg",2010,4633
"Newmont Nusa Tenggara, PT","Silver","kg",2010,17177
"Nusa Halmahera Minerals, PT","Gold","kg",2010,1887
"Nusa Halmahera Minerals, PT","Silver","kg",2010,1200
"Avocet Bolaang Mongondouw, PT","Gold","kg",2010,215
"Avocet Bolaang Mongondouw, PT","Silver","kg",2010,
"Galuh Cempaka, PT","Diamond","crt",2010,
"Galuh Cempaka, PT","Gold","kg",2010,
